"hr_id","animal_id","species","sex","year","month","season","n_pts","n_days"
"00762_MD15F0017_2017_02","MD15F0017","Mule Deer","F",2017,2,"Winter",106,27.625
"00763_MD15F0017_2017_07","MD15F0017","Mule Deer","F",2017,7,"Summer",64,30.0416666666667
"00764_MD15F0017_2018_02","MD15F0017","Mule Deer","F",2018,2,"Winter",114,27.6666666666667
"00765_MD15F0017_2018_07","MD15F0017","Mule Deer","F",2018,7,"Summer",60,28.7083333333333
"00766_MD15F0017_2019_02","MD15F0017","Mule Deer","F",2019,2,"Winter",666,27.9166666666667
"00767_MD15F0017_2019_07","MD15F0017","Mule Deer","F",2019,7,"Summer",720,30.9166666666667
"00768_MD15F0017_2020_02","MD15F0017","Mule Deer","F",2020,2,"Winter",694,28.9166666666667
"00769_MD15F0017_2020_07","MD15F0017","Mule Deer","F",2020,7,"Summer",688,30.9166666666667
"00770_MD15F0017_2021_02","MD15F0017","Mule Deer","F",2021,2,"Winter",672,27.9166666666667
"00782_MD15F0019_2016_02","MD15F0019","Mule Deer","F",2016,2,"Winter",110,28.7083333333333
"00783_MD15F0019_2016_07","MD15F0019","Mule Deer","F",2016,7,"Summer",114,30.2916666666667
"00784_MD15F0019_2017_02","MD15F0019","Mule Deer","F",2017,2,"Winter",112,27.625
"00785_MD15F0019_2017_07","MD15F0019","Mule Deer","F",2017,7,"Summer",96,30.0416666666667
"00786_MD15F0019_2018_02","MD15F0019","Mule Deer","F",2018,2,"Winter",110,27.6666666666667
"00787_MD15F0019_2018_07","MD15F0019","Mule Deer","F",2018,7,"Summer",98,30.2916666666667
"00788_MD15F0019_2019_02","MD15F0019","Mule Deer","F",2019,2,"Winter",106,27.125
"00789_MD15F0019_2019_07","MD15F0019","Mule Deer","F",2019,7,"Summer",70,30.2916666666667
"00790_MD15F0019_2020_02","MD15F0019","Mule Deer","F",2020,2,"Winter",662,28.9166666666667
"00791_MD15F0019_2020_07","MD15F0019","Mule Deer","F",2020,7,"Summer",694,30.9166666666667
"00792_MD15F0019_2021_02","MD15F0019","Mule Deer","F",2021,2,"Winter",668,27.9166666666667
"00793_MD15F0019_2021_07","MD15F0019","Mule Deer","F",2021,7,"Summer",734,30.9166666666667
"00797_MD15F0021_2016_02","MD15F0021","Mule Deer","F",2016,2,"Winter",114,28.7083333333333
"00798_MD15F0021_2016_07","MD15F0021","Mule Deer","F",2016,7,"Summer",96,30.7916666666667
"00799_MD15F0021_2017_02","MD15F0021","Mule Deer","F",2017,2,"Winter",102,27.625
"00800_MD15F0021_2017_07","MD15F0021","Mule Deer","F",2017,7,"Summer",88,30.0833333333333
"00801_MD15F0021_2018_02","MD15F0021","Mule Deer","F",2018,2,"Winter",106,27.6666666666667
"00803_MD15F0021_2019_02","MD15F0021","Mule Deer","F",2019,2,"Winter",646,27.9166666666667
"00804_MD15F0021_2019_07","MD15F0021","Mule Deer","F",2019,7,"Summer",730,30.9166666666667
"00805_MD15F0021_2020_02","MD15F0021","Mule Deer","F",2020,2,"Winter",694,28.9166666666667
"00806_MD15F0021_2020_07","MD15F0021","Mule Deer","F",2020,7,"Summer",678,30.9166666666667
"00807_MD15F0021_2021_02","MD15F0021","Mule Deer","F",2021,2,"Winter",672,27.9166666666667
"00808_MD15F0021_2021_07","MD15F0021","Mule Deer","F",2021,7,"Summer",732,30.9173611111111
"00826_MD15F0025_2016_02","MD15F0025","Mule Deer","F",2016,2,"Winter",92,28.7083333333333
"00827_MD15F0025_2016_07","MD15F0025","Mule Deer","F",2016,7,"Summer",74,30.2916666666667
"00828_MD15F0025_2017_02","MD15F0025","Mule Deer","F",2017,2,"Winter",92,27.625
"00829_MD15F0025_2017_07","MD15F0025","Mule Deer","F",2017,7,"Summer",66,30.0416666666667
"00830_MD15F0025_2018_02","MD15F0025","Mule Deer","F",2018,2,"Winter",90,26.125
"00831_MD15F0025_2018_07","MD15F0025","Mule Deer","F",2018,7,"Summer",56,28.6666666666667
